Year;Record;Artist;ID Artist;Genre,
1959;Nel Blu Dipinto Di Blu (Volare);Domenico Modugno;263;Balad,
1960;Mack the Knife;Bobby Darin;131;Jazz,
1961;Theme from A Summer Place;Percy Faith;716;Easy Listening,
1962;Moon River;Henry Mancini;386;Traditional Pop,
1963;I Left My Heart in San Francisco;Tony Bennett;950;Traditional Pop,
1964;Days of Wine and Roses;Henry Mancini;386;Easy Listening,
1965;The Girl from Ipanema;Stan Getz;850;Jazz,
1966;A Taste of Honey;Herb Alpert;387;Jazz,
1967;Strangers in the Night;Frank Sinatra;335;Jazz,
1968;Up, Up and Away;The 5th Dimension;877;Soul
1969;Mrs. Robinson;Simon and Garfunkel;833;Folk Rock,
1970;Aquarius / Let the Sunshine In;The 5th Dimension;877;Soul,
1971;Bridge Over Troubled Water;Simon and Garfunkel;833;Rock,
1972;It's Too Late;Carole King;168;Rock,
1973;The First Time Ever I Saw Your Face;Roberta Flack;768;Soul,
1974;Killing Me Softly with His Song;Roberta Flack;768;Soul,
1975;I Honestly Love You;Olivia Newton John;687;Rock,
1976;Love Will Keep Us Together;Captain and Tennille;162;Pop,
1977;This Masquerade;George Benson;354;R&B,
1978;Hotel California;The Eagles;893;Rock,
1979;Just the Way You Are;Billy Joel;110;Rock,
1980;What a Fool Believes;The Doobie Brothers;889;Rock,
1981;Sailing;Christopher Cross;196;Rock,
1982;Bette Davis Eyes;Kim Carnes;501;Rock,
1983;Rosanna;Toto;953;Rock,
1984;Beat It;Michael Jackson;616;Rock,
1985;What's Love Got to Do with It;Tina Turner;939;R&B,
1986;We are the World;USA for Africa;975;Pop,
1987;Higher Love;Steve Winwood;856;Rock,
1988;Graceland;Paul Simon;710;Folk,
1989;Don't Worry Be Happy;Bobby McFerrin;132;Jazz,
1990;From a Distance;Bette Midler;103;Pop,
1991;Another Day in Paradise;Phil Collins;720;Pop,
1992;Unforgettable;Natalie Cole;650;Traditional Pop,
1993;Tears in Heaven;Eric Clapton;296;Rock,
1994;A Whole New World;Peabo Bryson;712;Show Tune,
1995;All I Wanna Do;Sheryl Crow;823;Rock,
1996;Kiss from a Rose;Seal;805;Pop,
1997;Change the World;Eric Clapton;296;Pop,
1998;Sunny Came Home;Shawn Colvin;818;Rock,
1999;My Heart Will Go On;Celine Dion;174;Pop,
2000;Smooth;Santana;796;Rock,
2001;Beautiful;Christina Aguilera;193;Pop,
2002;Fallinâ€™;Alicia Keys;38;R&B,
2003;Don't Know Why;Norah Jones;677;Pop,
2004;Clocks;Coldplay;203;Rock,
2005;Here We Go Again;Ray Charles;750;Traditional Pop ,
2006;Breathe;Faith Hill;307;Country,
2007;Not Ready to Make Nice;Dixie Chicks;251;Country,
2008;Rehab;Amy Winehouse;49;Pop,
2009;Please Read the Letter;Robert Plant;767;Rock,
2010;Use Somebody;Kings of Leon;502;Rock,
2011;Need You Now;Lady Antebellum;516;Country,
2012;Rolling in the Deep;Adele;18;Pop,
2013;Somebody That I Used to Know;Gotye;369;Pop,
2014;Get Lucky;Daft Punk;217;Electronica,
2015;Stay with Me;Sam Smith;791;Pop,
2016;Uptown Funk;Mark Ronson;596;Pop,
2017;Hello;Adele;18;Pop,
2018;24K Magic;Bruno Mars;149;Pop,
2019;This Is America;Childish Gambino;187;Rap/Hip-Hop,
2020;Bad Guy;Billie Eilish;109;Pop,
2021;Everything I Wanted;Billie Eilish;109;Pop,
2022;Leave the door open;Silk Sonic;832;R&B,
