,year,genre
0,2000,pop
1,1999,rock
1,1999,pop
2,1999,pop
2,1999,country
3,2000,rock
3,2000,metal
4,2000,pop
5,1999,hiphop
5,1999,pop
5,1999,r&b
6,2000,hiphop
7,2000,pop
7,2000,rock
8,1999,pop
8,1999,r&b
9,2001,dance/electronic
10,2011,pop
11,1999,pop
12,2000,pop
13,1999,rock
13,1999,pop
14,1999,pop
14,1999,dance/electronic
15,2002,hiphop
15,2002,pop
15,2002,r&b
16,1999,pop
17,2000,pop
18,1999,pop
19,1999,hiphop
20,2000,rock
20,2000,metal
21,1999,rock
21,1999,folk/acoustic
21,1999,easylistening
22,2000,pop
23,2000,hiphop
24,1999,pop
24,1999,dance/electronic
25,2000,metal
26,2001,pop
26,2001,dance/electronic
27,2000,hiphop
27,2000,pop
27,2000,r&b
28,2000,pop
28,2000,dance/electronic
29,2016,dance/electronic
30,1999,hiphop
30,1999,pop
31,2000,pop
31,2000,r&b
32,2000,pop
33,2000,r&b
34,1999,pop
35,1999,hiphop
35,1999,pop
35,1999,r&b
36,2000,pop
36,2000,dance/electronic
37,1999,hiphop
38,2001,pop
38,2001,country
39,2000,pop
39,2000,r&b
40,1999,pop
40,1999,latin
41,2000,pop
41,2000,r&b
42,2000,hiphop
42,2000,pop
42,2000,r&b
43,1999,hiphop
44,1998,hiphop
44,1998,pop
44,1998,r&b
45,1999,pop
46,2018,pop
47,2000,pop
47,2000,r&b
48,2000,r&b
49,2004,hiphop
49,2004,pop
49,2004,r&b
50,2001,pop
50,2001,r&b
51,2000,pop
51,2000,latin
52,2000,hiphop
52,2000,pop
52,2000,r&b
53,1999,hiphop
53,1999,pop
53,1999,r&b
54,2000,hiphop
55,1999,pop
55,1999,r&b
56,2000,r&b
57,1999,pop
57,1999,r&b
58,2001,pop
58,2001,country
59,2000,folk/acoustic
59,2000,rock
60,2010,pop
60,2010,easylistening
60,2010,dance/electronic
61,2000,pop
62,2011,pop
62,2011,r&b
63,2000,hiphop
63,2000,pop
63,2000,r&b
64,1999,pop
65,2000,pop
66,1999,rock
67,2000,hiphop
67,2000,pop
67,2000,r&b
68,2000,hiphop
68,2000,pop
68,2000,r&b
69,1999,rock
69,1999,blues
69,1999,latin
70,2000,pop
70,2000,r&b
71,2000,pop
72,2000,pop
73,2000,pop
73,2000,rock
74,1999,dance/electronic
75,1999,pop
75,1999,r&b
76,1999,pop
77,2000,pop
77,2000,rock
77,2000,metal
78,2000,pop
78,2000,r&b
79,2000,hiphop
79,2000,pop
80,2000,rock
80,2000,pop
80,2000,metal
81,1999,pop
81,1999,r&b
82,1999,pop
83,2000,pop
84,2000,pop
85,2001,pop
85,2001,r&b
86,2000,pop
87,2000,hiphop
87,2000,r&b
88,1999,pop
88,1999,latin
89,2000,pop
89,2000,rock
90,2001,pop
90,2001,r&b
91,2000,pop
92,1999,pop
92,1999,rock
92,1999,metal
93,2000,pop
93,2000,folk/acoustic
94,2000,pop
94,2000,r&b
95,1999,set()
96,1999,pop
97,1999,pop
97,1999,rock
97,1999,metal
98,2000,pop
99,2000,hiphop
99,2000,pop
99,2000,r&b
100,2000,hiphop
100,2000,pop
101,2001,pop
101,2001,r&b
102,2000,hiphop
103,2001,pop
103,2001,dance/electronic
104,2001,pop
105,2000,hiphop
105,2000,pop
105,2000,latin
106,2001,pop
106,2001,latin
107,2001,rock
107,2001,pop
108,2001,pop
109,2001,pop
110,2001,pop
110,2001,r&b
111,2001,pop
112,2001,pop
112,2001,dance/electronic
113,2001,hiphop
113,2001,pop
113,2001,r&b
114,2001,pop
114,2001,r&b
115,2015,pop
115,2015,dance/electronic
116,2000,metal
117,2001,pop
118,2006,dance/electronic
119,2001,pop
120,2001,hiphop
120,2001,pop
120,2001,r&b
121,2001,pop
122,2001,pop
122,2001,r&b
123,1999,rock
123,1999,metal
124,2001,pop
124,2001,r&b
125,2001,hiphop
125,2001,pop
125,2001,r&b
126,2001,hiphop
126,2001,pop
126,2001,r&b
127,2002,hiphop
127,2002,pop
127,2002,r&b
128,2001,rock
128,2001,metal
129,2001,hiphop
129,2001,dance/electronic
130,2000,hiphop
130,2000,pop
131,2001,pop
131,2001,dance/electronic
132,2001,pop
132,2001,r&b
133,1999,pop
134,2000,pop
134,2000,r&b
135,2001,rock
135,2001,metal
136,2001,hiphop
136,2001,pop
136,2001,r&b
137,2001,hiphop
137,2001,pop
137,2001,r&b
138,2008,pop
138,2008,latin
139,2001,hiphop
139,2001,pop
139,2001,r&b
140,2000,dance/electronic
141,2001,hiphop
142,2001,hiphop
143,2000,pop
143,2000,r&b
144,2001,pop
144,2001,r&b
145,2001,hiphop
145,2001,pop
145,2001,r&b
146,2001,pop
147,2001,hiphop
147,2001,pop
147,2001,r&b
148,2001,hiphop
148,2001,pop
148,2001,r&b
149,2001,pop
150,2001,dance/electronic
151,2001,rock
151,2001,metal
152,2001,hiphop
152,2001,pop
153,2001,hiphop
153,2001,pop
153,2001,rock
154,2016,hiphop
154,2016,pop
154,2016,r&b
155,2000,pop
156,2001,pop
157,2001,pop
158,2001,hiphop
158,2001,pop
158,2001,r&b
159,2001,hiphop
160,2001,pop
161,2000,hiphop
161,2000,pop
161,2000,r&b
162,2000,hiphop
162,2000,pop
162,2000,latin
163,2001,dance/electronic
164,2004,pop
164,2004,dance/electronic
165,2000,hiphop
165,2000,pop
165,2000,r&b
166,2001,pop
167,2000,world/traditional
167,2000,folk/acoustic
168,2001,pop
168,2001,country
169,2000,pop
169,2000,rock
170,2001,pop
170,2001,r&b
171,2000,pop
171,2000,dance/electronic
172,2001,pop
172,2001,r&b
173,2000,rock
173,2000,pop
174,2002,pop
175,2018,dance/electronic
176,2001,pop
176,2001,r&b
177,2001,pop
178,2001,hiphop
178,2001,pop
178,2001,r&b
179,2001,pop
179,2001,r&b
180,2001,dance/electronic
181,2001,hiphop
181,2001,pop
181,2001,r&b
182,2000,pop
182,2000,r&b
183,2001,dance/electronic
184,2001,pop
184,2001,rock
185,2001,pop
185,2001,dance/electronic
186,2000,hiphop
186,2000,pop
187,2001,pop
187,2001,r&b
188,2000,hiphop
188,2000,pop
188,2000,r&b
189,2001,hiphop
189,2001,pop
190,2001,rock
190,2001,pop
191,2001,hiphop
192,2001,pop
192,2001,r&b
193,2000,rock
194,2019,pop
194,2019,r&b
195,2001,rock
195,2001,metal
196,2000,pop
196,2000,r&b
197,2001,hiphop
197,2001,pop
197,2001,r&b
198,2001,pop
199,2000,pop
199,2000,rock
199,2000,metal
200,2002,hiphop
200,2002,pop
200,2002,r&b
201,2002,hiphop
202,2002,pop
203,2002,folk/acoustic
203,2002,pop
204,2001,pop
205,2001,pop
205,2001,latin
206,2001,rock
206,2001,pop
207,2002,pop
207,2002,r&b
208,2002,hiphop
208,2002,pop
209,2002,hiphop
210,2004,hiphop
210,2004,pop
211,2001,hiphop
211,2001,pop
211,2001,r&b
212,2003,pop
213,2002,hiphop
213,2002,pop
213,2002,r&b
214,2019,pop
215,2000,rock
215,2000,metal
216,2002,set()
217,2019,hiphop
217,2019,pop
217,2019,r&b
218,2002,pop
218,2002,dance/electronic
219,2002,pop
219,2002,r&b
220,2003,rock
220,2003,metal
221,2002,hiphop
221,2002,pop
221,2002,r&b
222,2003,metal
223,2001,pop
224,2013,pop
224,2013,dance/electronic
225,2001,hiphop
225,2001,pop
225,2001,r&b
226,2002,hiphop
226,2002,pop
226,2002,r&b
227,2002,hiphop
227,2002,pop
227,2002,r&b
228,2002,pop
229,2001,hiphop
229,2001,pop
230,2001,pop
231,2013,pop
231,2013,dance/electronic
232,2002,hiphop
232,2002,pop
232,2002,r&b
233,2002,hiphop
233,2002,pop
234,2015,pop
234,2015,r&b
235,2002,hiphop
235,2002,pop
235,2002,r&b
236,2000,pop
236,2000,dance/electronic
237,2002,hiphop
237,2002,pop
237,2002,r&b
238,2003,pop
239,2002,pop
240,2002,hiphop
240,2002,pop
240,2002,r&b
241,2002,pop
241,2002,r&b
242,2002,dance/electronic
243,2001,hiphop
243,2001,pop
244,2019,pop
245,2001,rock
245,2001,pop
246,2002,hiphop
246,2002,pop
246,2002,r&b
247,2002,rock
248,2002,pop
248,2002,r&b
249,2002,hiphop
249,2002,pop
250,2001,hiphop
250,2001,pop
250,2001,r&b
251,2002,pop
252,2001,pop
252,2001,dance/electronic
253,2002,hiphop
253,2002,pop
254,2003,pop
255,2005,hiphop
255,2005,pop
256,2001,pop
257,2001,rock
257,2001,pop
258,2002,hiphop
258,2002,pop
258,2002,r&b
259,2002,pop
259,2002,dance/electronic
260,2002,pop
261,2001,pop
261,2001,r&b
262,2001,pop
263,2002,hiphop
264,2002,hiphop
264,2002,pop
264,2002,r&b
265,2003,pop
266,2001,pop
267,2001,pop
267,2001,r&b
268,2002,pop
269,2002,rock
269,2002,pop
270,2002,hiphop
270,2002,pop
270,2002,r&b
271,2002,pop
271,2002,rock
272,2002,hiphop
272,2002,pop
273,2001,pop
273,2001,rock
273,2001,metal
274,2001,hiphop
274,2001,pop
274,2001,r&b
275,2002,hiphop
275,2002,pop
275,2002,r&b
276,2002,pop
277,2002,pop
278,2001,pop
279,2002,hiphop
279,2002,pop
280,2002,rock
281,2002,rock
281,2002,easylistening
282,2002,pop
283,2001,pop
284,2001,pop
284,2001,rock
285,2002,pop
285,2002,folk/acoustic
286,2001,hiphop
286,2001,pop
286,2001,r&b
287,2015,pop
287,2015,rock
287,2015,metal
288,2002,pop
288,2002,rock
289,2001,rock
289,2001,metal
290,2001,hiphop
290,2001,pop
291,2012,set()
292,2001,rock
292,2001,pop
292,2001,metal
293,2001,pop
293,2001,folk/acoustic
294,2002,pop
295,2001,pop
295,2001,latin
296,2001,rock
296,2001,metal
297,2002,rock
297,2002,pop
298,2001,hiphop
298,2001,pop
299,2001,pop
300,2003,hiphop
300,2003,pop
301,2002,hiphop
301,2002,pop
302,2004,hiphop
303,2003,pop
303,2003,r&b
304,2003,rock
304,2003,pop
305,2003,hiphop
305,2003,pop
306,2002,hiphop
306,2002,pop
306,2002,r&b
307,2003,hiphop
307,2003,pop
308,2020,pop
309,2003,pop
309,2003,dance/electronic
310,2002,hiphop
310,2002,pop
311,2003,world/traditional
311,2003,hiphop
312,2004,pop
312,2004,dance/electronic
313,2002,hiphop
314,2003,hiphop
314,2003,pop
315,2003,pop
316,2003,rock
316,2003,metal
317,2007,hiphop
317,2007,pop
318,2003,metal
319,2003,pop
319,2003,r&b
320,2002,hiphop
320,2002,pop
320,2002,r&b
321,2003,rock
321,2003,metal
322,2002,hiphop
322,2002,pop
323,2003,hiphop
323,2003,pop
323,2003,r&b
324,2003,hiphop
324,2003,pop
324,2003,r&b
324,2003,latin
325,2002,hiphop
325,2002,pop
325,2002,r&b
326,2003,pop
327,2004,pop
328,2003,pop
329,2002,pop
330,2003,rock
330,2003,blues
331,2003,hiphop
331,2003,pop
332,2003,pop
332,2003,r&b
333,2019,hiphop
333,2019,pop
333,2019,r&b
334,2002,pop
335,2003,rock
335,2003,metal
336,2003,pop
337,2003,hiphop
337,2003,pop
337,2003,r&b
338,2002,rock
338,2002,metal
339,2008,rock
339,2008,r&b
339,2008,folk/acoustic
339,2008,pop
340,2003,pop
340,2003,r&b
341,2003,pop
341,2003,dance/electronic
342,2016,hiphop
342,2016,pop
342,2016,r&b
343,2003,dance/electronic
344,2009,hiphop
345,2003,metal
346,2003,pop
346,2003,r&b
347,2003,hiphop
347,2003,pop
348,2003,hiphop
348,2003,pop
349,2003,hiphop
349,2003,pop
349,2003,r&b
350,2002,hiphop
351,2003,hiphop
351,2003,pop
351,2003,r&b
352,2003,pop
352,2003,r&b
353,2003,hiphop
353,2003,pop
354,2002,hiphop
354,2002,pop
354,2002,r&b
355,2002,hiphop
355,2002,pop
355,2002,r&b
356,2003,pop
356,2003,dance/electronic
357,2003,pop
357,2003,dance/electronic
358,2002,pop
359,2003,hiphop
359,2003,pop
359,2003,r&b
360,2005,hiphop
360,2005,pop
361,2002,hiphop
361,2002,pop
361,2002,r&b
362,2003,hiphop
362,2003,pop
362,2003,r&b
363,2003,rock
364,2003,pop
364,2003,dance/electronic
365,2003,hiphop
365,2003,pop
366,2002,hiphop
367,2002,pop
367,2002,rock
367,2002,metal
368,2002,hiphop
368,2002,pop
368,2002,r&b
369,2002,pop
370,2003,pop
371,2003,rock
371,2003,pop
372,2003,pop
372,2003,r&b
373,2002,hiphop
374,2002,rock
374,2002,pop
375,2002,hiphop
375,2002,pop
375,2002,r&b
376,2002,hiphop
376,2002,pop
376,2002,r&b
377,2003,hiphop
377,2003,pop
377,2003,r&b
378,2002,pop
379,2002,rock
379,2002,metal
380,2002,hiphop
380,2002,pop
381,2002,pop
381,2002,r&b
382,2002,hiphop
382,2002,pop
382,2002,r&b
383,2003,pop
383,2003,r&b
384,2003,pop
385,2002,hiphop
386,2003,hiphop
386,2003,pop
386,2003,r&b
387,2003,hiphop
387,2003,pop
387,2003,r&b
388,2003,pop
388,2003,r&b
389,2002,hiphop
389,2002,pop
389,2002,r&b
390,2002,pop
390,2002,rock
391,2003,hiphop
391,2003,pop
392,2003,hiphop
392,2003,pop
392,2003,r&b
393,2003,rock
393,2003,pop
394,2002,pop
395,2002,rock
395,2002,metal
396,2003,hiphop
396,2003,r&b
397,2003,rock
398,2002,pop
399,2003,pop
400,2004,hiphop
400,2004,pop
400,2004,r&b
401,2002,pop
402,2003,pop
403,2003,hiphop
403,2003,pop
404,2003,pop
404,2003,rock
404,2003,metal
405,2004,pop
406,2004,latin
407,2004,hiphop
407,2004,pop
408,2004,pop
409,2004,hiphop
410,1999,pop
411,2004,pop
411,2004,r&b
412,2004,hiphop
412,2004,pop
412,2004,r&b
413,2003,metal
414,2004,hiphop
414,2004,pop
415,2003,pop
415,2003,r&b
416,2003,rock
416,2003,metal
417,2004,hiphop
417,2004,pop
418,2004,pop
419,2004,hiphop
419,2004,pop
419,2004,rock
420,2004,hiphop
420,2004,pop
420,2004,r&b
421,2016,pop
422,2004,pop
422,2004,r&b
423,2004,pop
423,2004,dance/electronic
424,2004,pop
424,2004,r&b
425,2003,pop
425,2003,r&b
425,2003,dance/electronic
426,2004,hiphop
426,2004,pop
426,2004,r&b
427,2004,rock
428,2004,set()
429,2004,pop
430,2004,pop
430,2004,r&b
431,2003,hiphop
431,2003,pop
431,2003,r&b
431,2003,latin
432,2003,hiphop
432,2003,pop
433,2003,hiphop
434,2004,pop
434,2004,latin
435,2004,pop
436,2004,pop
436,2004,rock
437,2003,hiphop
437,2003,pop
438,2003,hiphop
438,2003,pop
439,2003,pop
439,2003,latin
440,2003,pop
440,2003,r&b
440,2003,dance/electronic
441,2003,rock
441,2003,metal
442,2005,hiphop
442,2005,pop
442,2005,r&b
443,2004,hiphop
443,2004,pop
443,2004,r&b
444,2003,pop
444,2003,r&b
445,2004,hiphop
446,2003,pop
446,2003,r&b
447,2004,hiphop
447,2004,pop
448,2002,hiphop
448,2002,pop
449,2004,dance/electronic
450,2004,hiphop
450,2004,pop
450,2004,rock
451,2003,pop
451,2003,dance/electronic
452,2004,hiphop
453,2003,hiphop
453,2003,pop
453,2003,r&b
454,2004,hiphop
454,2004,pop
455,2004,set()
456,2004,pop
456,2004,dance/electronic
457,2004,hiphop
457,2004,pop
457,2004,r&b
458,2004,hiphop
459,2003,pop
460,2004,world/traditional
460,2004,rock
461,2004,rock
462,2001,hiphop
462,2001,pop
463,2003,hiphop
463,2003,pop
464,2004,hiphop
464,2004,pop
465,2004,hiphop
466,2003,metal
467,2004,hiphop
467,2004,pop
467,2004,r&b
468,2004,r&b
469,2003,rock
469,2003,pop
470,2004,pop
471,2004,hiphop
471,2004,pop
471,2004,r&b
472,2004,rock
473,2003,pop
473,2003,r&b
473,2003,dance/electronic
474,2004,pop
474,2004,rock
474,2004,dance/electronic
475,2003,pop
475,2003,r&b
476,2004,hiphop
477,2004,pop
478,2003,hiphop
478,2003,pop
479,2004,pop
480,2003,pop
481,2004,set()
482,2003,pop
482,2003,r&b
483,2002,pop
483,2002,rock
483,2002,metal
484,2004,hiphop
485,2004,hiphop
485,2004,pop
485,2004,r&b
486,2003,pop
486,2003,easylistening
486,2003,jazz
487,2004,hiphop
487,2004,pop
487,2004,r&b
488,2004,hiphop
488,2004,pop
488,2004,r&b
489,2004,dance/electronic
490,2004,hiphop
490,2004,dance/electronic
491,2003,hiphop
491,2003,pop
492,2003,hiphop
492,2003,pop
493,2004,pop
493,2004,dance/electronic
494,2003,pop
494,2003,r&b
495,2004,hiphop
496,2001,pop
497,2004,pop
498,2003,pop
499,2003,pop
499,2003,r&b
500,2005,pop
500,2005,r&b
501,2004,pop
501,2004,r&b
502,2005,hiphop
503,2005,hiphop
503,2005,pop
503,2005,r&b
504,2005,hiphop
504,2005,pop
505,2005,pop
506,2004,rock
507,2005,pop
507,2005,r&b
508,2005,pop
509,2004,pop
510,2005,pop
511,2005,hiphop
511,2005,pop
512,2005,pop
513,2004,hiphop
514,2005,hiphop
514,2005,pop
515,2004,pop
515,2004,r&b
516,2005,dance/electronic
517,2005,hiphop
517,2005,pop
517,2005,rock
518,2005,hiphop
518,2005,pop
519,2005,hiphop
519,2005,pop
520,2005,hiphop
520,2005,pop
520,2005,r&b
521,2005,pop
521,2005,r&b
522,2005,hiphop
522,2005,pop
523,2004,pop
523,2004,r&b
524,2005,hiphop
524,2005,pop
525,2005,hiphop
525,2005,pop
525,2005,r&b
525,2005,latin
526,2005,hiphop
526,2005,pop
526,2005,r&b
527,2004,hiphop
528,2005,hiphop
528,2005,pop
529,2005,hiphop
530,2005,hiphop
530,2005,pop
531,2004,pop
532,2005,rock
532,2005,dance/electronic
533,2005,pop
533,2005,r&b
534,2005,hiphop
534,2005,pop
535,2004,hiphop
536,2005,pop
536,2005,latin
537,2005,hiphop
538,2004,hiphop
538,2004,pop
539,2005,pop
539,2005,rock
540,2005,hiphop
540,2005,pop
541,2004,hiphop
541,2004,pop
542,2005,hiphop
542,2005,pop
543,2005,hiphop
543,2005,pop
543,2005,r&b
544,2005,pop
544,2005,folk/acoustic
545,2004,set()
546,2005,hiphop
546,2005,pop
546,2005,r&b
547,2005,pop
548,2005,hiphop
548,2005,pop
548,2005,r&b
549,2005,hiphop
550,2004,hiphop
550,2004,pop
551,2005,hiphop
551,2005,pop
552,2004,pop
552,2004,r&b
553,2005,pop
553,2005,r&b
554,2008,hiphop
554,2008,pop
554,2008,r&b
555,2004,hiphop
555,2004,pop
556,2005,rock
557,2005,pop
557,2005,folk/acoustic
558,2004,pop
558,2004,r&b
559,2005,hiphop
559,2005,pop
559,2005,r&b
560,2005,rock
561,2003,pop
561,2003,r&b
562,2004,hiphop
563,2005,hiphop
563,2005,pop
563,2005,r&b
564,2005,pop
564,2005,easylistening
564,2005,jazz
565,2004,hiphop
565,2004,pop
566,2005,pop
566,2005,r&b
567,2005,hiphop
567,2005,pop
568,2020,hiphop
568,2020,pop
569,2005,hiphop
569,2005,pop
569,2005,r&b
570,2005,rock
571,2004,pop
571,2004,r&b
572,2005,hiphop
572,2005,pop
573,2005,pop
574,2005,hiphop
574,2005,pop
574,2005,r&b
575,2004,rock
575,2004,metal
576,2006,rock
577,2006,pop
578,2005,hiphop
578,2005,pop
578,2005,r&b
579,2005,rock
580,2004,hiphop
580,2004,pop
580,2004,r&b
581,2004,pop
581,2004,r&b
582,2012,pop
582,2012,rock
582,2012,metal
583,2005,rock
583,2005,metal
584,2005,hiphop
584,2005,pop
584,2005,r&b
585,2004,pop
585,2004,r&b
586,2005,pop
586,2005,r&b
587,2004,pop
588,2005,rock
588,2005,pop
589,2004,hiphop
590,2004,hiphop
590,2004,pop
590,2004,r&b
591,2005,rock
591,2005,pop
592,2005,world/traditional
592,2005,pop
592,2005,folk/acoustic
593,2004,pop
593,2004,r&b
594,2004,pop
594,2004,r&b
595,2004,world/traditional
595,2004,rock
596,2005,rock
596,2005,pop
597,2005,country
598,2004,pop
598,2004,r&b
599,2005,rock
599,2005,metal
600,2005,pop
600,2005,latin
601,2005,hiphop
601,2005,pop
602,2006,pop
603,2007,pop
603,2007,r&b
604,2006,r&b
605,2006,hiphop
605,2006,pop
605,2006,r&b
606,2006,hiphop
606,2006,r&b
607,2006,hiphop
607,2006,pop
608,2006,hiphop
608,2006,pop
608,2006,latin
609,2006,pop
609,2006,dance/electronic
610,2006,hiphop
610,2006,pop
611,2005,pop
612,2005,hiphop
612,2005,pop
613,2005,hiphop
613,2005,pop
614,2006,hiphop
614,2006,pop
614,2006,latin
615,2015,pop
615,2015,dance/electronic
616,2006,hiphop
616,2006,pop
617,2005,pop
617,2005,r&b
618,2006,pop
618,2006,r&b
619,2005,hiphop
620,2006,hiphop
620,2006,pop
620,2006,r&b
621,2006,rock
622,2005,hiphop
622,2005,pop
622,2005,r&b
623,2004,pop
624,2006,pop
624,2006,r&b
625,2006,hiphop
625,2006,pop
626,2005,pop
626,2005,r&b
627,2006,hiphop
627,2006,pop
628,2006,pop
628,2006,dance/electronic
629,2005,hiphop
630,2006,hiphop
630,2006,pop
631,2006,pop
632,2006,pop
633,2005,rock
633,2005,metal
634,2005,hiphop
634,2005,pop
634,2005,r&b
635,2006,pop
636,2006,pop
636,2006,r&b
637,2011,hiphop
637,2011,pop
637,2011,dance/electronic
638,2005,hiphop
638,2005,pop
639,2006,hiphop
639,2006,pop
639,2006,r&b
640,2007,pop
640,2007,r&b
641,2006,pop
642,2005,hiphop
643,2006,pop
643,2006,r&b
643,2006,dance/electronic
644,2005,pop
644,2005,dance/electronic
645,2005,set()
646,2005,pop
646,2005,r&b
647,2012,pop
647,2012,dance/electronic
648,2006,hiphop
648,2006,pop
648,2006,r&b
649,2005,hiphop
650,2006,hiphop
650,2006,pop
651,2006,metal
652,2006,hiphop
652,2006,pop
652,2006,r&b
653,2005,rock
653,2005,metal
654,2005,rock
655,2007,pop
655,2007,r&b
656,2006,hiphop
656,2006,pop
657,2006,hiphop
657,2006,pop
658,2006,pop
659,2006,hiphop
659,2006,pop
660,2006,rock
661,2006,country
662,2006,pop
662,2006,r&b
663,2005,hiphop
663,2005,pop
663,2005,r&b
664,2006,pop
665,2006,pop
665,2006,r&b
666,2006,hiphop
666,2006,pop
666,2006,r&b
667,2005,pop
667,2005,r&b
668,2005,hiphop
668,2005,pop
668,2005,country
669,2006,r&b
670,2006,country
671,2006,rock
672,2006,pop
672,2006,rock
672,2006,dance/electronic
673,2006,pop
673,2006,r&b
674,2019,pop
674,2019,rock
674,2019,metal
675,2006,rock
676,2006,rock
677,2005,hiphop
677,2005,pop
677,2005,rock
678,2005,pop
678,2005,r&b
679,2005,rock
680,2005,pop
681,2006,pop
682,2006,pop
683,2006,pop
684,2006,pop
685,2005,hiphop
685,2005,pop
685,2005,r&b
686,2005,world/traditional
686,2005,pop
686,2005,folk/acoustic
687,2004,pop
688,2006,rock
688,2006,pop
689,2006,pop
689,2006,r&b
690,2006,world/traditional
690,2006,rock
690,2006,pop
691,2005,pop
692,2006,world/traditional
692,2006,pop
693,2006,rock
694,2006,rock
694,2006,pop
695,2005,rock
695,2005,pop
696,2006,pop
696,2006,r&b
697,2005,hiphop
697,2005,pop
697,2005,r&b
698,2006,pop
699,2006,rock
700,2007,pop
700,2007,r&b
701,2008,hiphop
701,2008,pop
701,2008,r&b
702,2007,pop
703,2006,pop
703,2006,r&b
704,2007,pop
705,2005,pop
706,2006,pop
707,2006,pop
707,2006,r&b
708,2007,hiphop
708,2007,pop
708,2007,r&b
709,2006,hiphop
709,2006,pop
709,2006,latin
